"","Strain","Cu_level","Me_P","Quota"
"124","PAlt_P2","25","Zn_P",1.98816568
"125","PAlt_P2","25","Zn_P",1.793706294
"126","PAlt_P2","25","Zn_P",0.953678474
"127","PAlt_P2","25","Zn_P",1.255208333
"128","Dokd_P16","0.6","Mn_P",0.259726962
"129","Dokd_P16","0.6","Mn_P",0.373737374
"130","Dokd_P16","0.6","Mn_P",0.390710383
"131","Dokd_P16","0.6","Mn_P",0.282978723
"132","Dokd_P16","2","Mn_P",0.42371134
"133","Dokd_P16","2","Mn_P",0.591346154
"134","Dokd_P16","2","Mn_P",0.497674419
"135","Dokd_P16","2","Mn_P",0.466666667
"136","Dokd_P16","2","Mn_P",0.347982063
"137","Dokd_P16","2","Mn_P",0.761006289
"138","Dokd_P16","10","Mn_P",0.41875
"139","Dokd_P16","10","Mn_P",0.43
"140","Dokd_P16","10","Mn_P",0.443564356
"141","Dokd_P16","10","Mn_P",0.444954128
"142","Dokd_P16","10","Mn_P",0.400608519
"143","Dokd_P16","10","Mn_P",0.337226277
"144","Dokd_P16","10","Mn_P",0.34137931
"145","Dokd_P16","25","Mn_P",0.459074733
"146","Dokd_P16","25","Mn_P",0.422222222
"147","Dokd_P16","25","Mn_P",0.444444444
"148","Dokd_P16","25","Mn_P",0.342016807
"149","Dokd_P16","25","Mn_P",0.253968254
"150","Dokd_P16","25","Mn_P",0.436363636
"151","Dokd_P16","50","Mn_P",0.275518672
"152","Dokd_P16","50","Mn_P",0.317880795
"153","Dokd_P16","50","Mn_P",0.325423729
"154","R.pomeroyi","0.6","Mn_P",0.934306569
"155","R.pomeroyi","0.6","Mn_P",1.083941606
"156","R.pomeroyi","0.6","Mn_P",0.909657321
"157","R.pomeroyi","2","Mn_P",1.026515152
"158","R.pomeroyi","2","Mn_P",1.136752137
"159","R.pomeroyi","2","Mn_P",1.098425197
"160","R.pomeroyi","2","Mn_P",1.019607843
"161","R.pomeroyi","10","Mn_P",0.933333333
"162","R.pomeroyi","10","Mn_P",0.886925795
"163","R.pomeroyi","10","Mn_P",0.875816993
"164","R.pomeroyi","50","Mn_P",0.851132686
"165","R.pomeroyi","50","Mn_P",0.847133758
"166","R.pomeroyi","50","Mn_P",0.82642487
"167","PAlt_P26","0.6","Mn_P",0.004314381
"168","PAlt_P26","0.6","Mn_P",0.003383459
"169","PAlt_P26","0.6","Mn_P",0.008346154
"170","PAlt_P26","0.6","Mn_P",0.004177273
"171","PAlt_P26","2","Mn_P",0.128448276
"172","PAlt_P26","2","Mn_P",0.043302181
"173","PAlt_P26","2","Mn_P",0.035365854
"174","PAlt_P26","2","Mn_P",0.040229885
"175","PAlt_P26","10","Mn_P",0.032913043
"176","PAlt_P26","10","Mn_P",0.001995863
"177","PAlt_P26","10","Mn_P",0.014179104
"178","PAlt_P26","50","Mn_P",0.007176471
"179","PAlt_P26","50","Mn_P",0.012171429
"180","PAlt_P26","50","Mn_P",0.004644914
"181","PAlt_P2","0.6","Mn_P",0.021876751
"182","PAlt_P2","0.6","Mn_P",0.155263158
"183","PAlt_P2","0.6","Mn_P",0.053781513
"184","PAlt_P2","0.6","Mn_P",0.059137056
"185","PAlt_P2","10","Mn_P",0.020859729
"186","PAlt_P2","10","Mn_P",0.014430769
"187","PAlt_P2","10","Mn_P",0.024185393
"188","PAlt_P2","25","Mn_P",0.233727811
"189","PAlt_P2","25","Mn_P",0.161538462
"190","PAlt_P2","25","Mn_P",0.053678474
"191","PAlt_P2","25","Mn_P",0.0484375
"192","Dokd_P16","0.6","Cu_P",0.106143345
"193","Dokd_P16","0.6","Cu_P",0.060942761
"194","Dokd_P16","0.6","Cu_P",0.043661202
"195","Dokd_P16","0.6","Cu_P",0.040780142
"196","Dokd_P16","2","Cu_P",0.07371134
"197","Dokd_P16","2","Cu_P",0.073557692
"198","Dokd_P16","2","Cu_P",0.070697674
"199","Dokd_P16","2","Cu_P",0.054022989
"200","Dokd_P16","2","Cu_P",0.113901345
"201","Dokd_P16","2","Cu_P",0.067295597
"202","Dokd_P16","10","Cu_P",0.090625
"203","Dokd_P16","10","Cu_P",0.075625
"204","Dokd_P16","10","Cu_P",0.087623762
"205","Dokd_P16","10","Cu_P",0.143348624
"206","Dokd_P16","10","Cu_P",0.071501014
"207","Dokd_P16","10","Cu_P",0.040145985
"208","Dokd_P16","10","Cu_P",0.041551724
"209","Dokd_P16","25","Cu_P",0.13772242
"210","Dokd_P16","25","Cu_P",0.144761905
"211","Dokd_P16","25","Cu_P",0.138095238
"212","Dokd_P16","25","Cu_P",0.116806723
"213","Dokd_P16","25","Cu_P",0.111904762
"214","Dokd_P16","25","Cu_P",0.197575758
"215","Dokd_P16","50","Cu_P",0.12033195
"216","Dokd_P16","50","Cu_P",0.111258278
"217","Dokd_P16","50","Cu_P",0.121468927
"218","R.pomeroyi","0.6","Cu_P",0.059854015
"219","R.pomeroyi","0.6","Cu_P",0.052919708
"220","R.pomeroyi","0.6","Cu_P",0.04953271
"221","R.pomeroyi","2","Cu_P",0.115151515
"222","R.pomeroyi","2","Cu_P",0.152991453
"223","R.pomeroyi","2","Cu_P",0.095275591
"224","R.pomeroyi","2","Cu_P",0.101960784
"225","R.pomeroyi","10","Cu_P",0.161190476
"226","R.pomeroyi","10","Cu_P",0.130565371
"227","R.pomeroyi","10","Cu_P",0.147058824
"228","R.pomeroyi","50","Cu_P",0.162135922
"229","R.pomeroyi","50","Cu_P",0.156050955
"230","R.pomeroyi","50","Cu_P",0.143264249
"231","PAlt_P26","0.6","Cu_P",0.090635452
"232","PAlt_P26","0.6","Cu_P",0.032706767
"233","PAlt_P26","0.6","Cu_P",0.068076923
"234","PAlt_P26","0.6","Cu_P",0.048636364
"235","PAlt_P26","2","Cu_P",0.075948276
"236","PAlt_P26","2","Cu_P",0.023239875
"237","PAlt_P26","2","Cu_P",0.060365854
"238","PAlt_P26","2","Cu_P",0.040613027
"239","PAlt_P26","10","Cu_P",0.053043478
"240","PAlt_P26","10","Cu_P",0.097724922
"241","PAlt_P26","10","Cu_P",0.01920398
"242","PAlt_P26","50","Cu_P",0.041960784
"243","PAlt_P26","50","Cu_P",0.040952381
"244","PAlt_P26","50","Cu_P",0.02840691
"245","PAlt_P2","0.6","Cu_P",0.020840336
"246","PAlt_P2","0.6","Cu_P",0.060526316
"247","PAlt_P2","0.6","Cu_P",0.020168067
"248","PAlt_P2","0.6","Cu_P",0.022664975
"249","PAlt_P2","10","Cu_P",0.037556561
"250","PAlt_P2","10","Cu_P",0.038461538
"251","PAlt_P2","10","Cu_P",0.03988764
"252","PAlt_P2","25","Cu_P",0.036363636
"253","PAlt_P2","25","Cu_P",0.028337875
"254","PAlt_P2","25","Cu_P",0.034114583
"255","Dokd_P16","0.6","Co_P",0.015802048
"256","Dokd_P16","0.6","Co_P",0.014848485
"257","Dokd_P16","0.6","Co_P",0.015409836
"258","Dokd_P16","0.6","Co_P",0.020921986
"259","Dokd_P16","2","Co_P",0.020618557
"260","Dokd_P16","2","Co_P",0.022163462
"261","Dokd_P16","2","Co_P",0.019395349
"262","Dokd_P16","2","Co_P",0.017643678
"263","Dokd_P16","2","Co_P",0.017085202
"264","Dokd_P16","2","Co_P",0.021006289
"265","Dokd_P16","10","Co_P",0.016354167
"266","Dokd_P16","10","Co_P",0.018125
"267","Dokd_P16","10","Co_P",0.019306931
"268","Dokd_P16","10","Co_P",0.021559633
"269","Dokd_P16","10","Co_P",0.018762677
"270","Dokd_P16","10","Co_P",0.017956204
"271","Dokd_P16","10","Co_P",0.016982759
"272","Dokd_P16","25","Co_P",0.017651246
"273","Dokd_P16","25","Co_P",0.017333333
"274","Dokd_P16","25","Co_P",0.01781746
"275","Dokd_P16","25","Co_P",0.016554622
"276","Dokd_P16","25","Co_P",0.012238095
"277","Dokd_P16","25","Co_P",0.022757576
"278","Dokd_P16","50","Co_P",0.014937759
"279","Dokd_P16","50","Co_P",0.015364238
"280","Dokd_P16","50","Co_P",0.013728814
"281","R.pomeroyi","0.6","Co_P",0.01850365
"282","R.pomeroyi","0.6","Co_P",0.019671533
"283","R.pomeroyi","0.6","Co_P",0.0105919
"284","R.pomeroyi","2","Co_P",0.019962121
"285","R.pomeroyi","2","Co_P",0.028974359
"286","R.pomeroyi","2","Co_P",0.022677165
"287","R.pomeroyi","2","Co_P",0.020539216
"288","R.pomeroyi","10","Co_P",0.041666667
"289","R.pomeroyi","10","Co_P",0.034628975
"290","R.pomeroyi","10","Co_P",0.036819172
"291","R.pomeroyi","50","Co_P",0.027831715
"292","R.pomeroyi","50","Co_P",0.032802548
"293","R.pomeroyi","50","Co_P",0.029274611
"294","PAlt_P26","0.6","Co_P",0.011204013
"295","PAlt_P26","0.6","Co_P",0.03075188
"296","PAlt_P26","0.6","Co_P",0.015153846
"297","PAlt_P26","0.6","Co_P",0.073636364
"298","PAlt_P26","2","Co_P",0.012586207
"299","PAlt_P26","2","Co_P",0.005919003
"300","PAlt_P26","2","Co_P",0.005792683
"301","PAlt_P26","2","Co_P",0.006704981
"302","PAlt_P26","10","Co_P",0.006565217
"303","PAlt_P26","10","Co_P",0.011168563
"304","PAlt_P26","10","Co_P",0.007835821
"305","PAlt_P26","50","Co_P",0.011921569
"306","PAlt_P26","50","Co_P",0.006647619
"307","PAlt_P26","50","Co_P",0.005777351
"308","PAlt_P2","0.6","Co_P",0.00977591
"309","PAlt_P2","0.6","Co_P",0.012593985
"310","PAlt_P2","0.6","Co_P",0.011008403
"311","PAlt_P2","0.6","Co_P",0.01035533
"312","PAlt_P2","10","Co_P",0.011855204
"313","PAlt_P2","10","Co_P",0.010769231
"314","PAlt_P2","10","Co_P",0.017219101
"315","PAlt_P2","25","Co_P",0.01964497
"316","PAlt_P2","25","Co_P",0.014265734
"317","PAlt_P2","25","Co_P",0.009945504
"318","PAlt_P2","25","Co_P",0.010260417
