"","Strain","Cu_level","Category","Value"
"133","PAlt_P26",50,"BGE",0.452101458
"134","PAlt_P26",50,"BGE",0.4827421
"135","PAlt_P26",50,"BGE",0.660595841
"136","R.pomeroyi",0.6,"BGE",0.352523325
"137","R.pomeroyi",0.6,"BGE",0.34005737
"138","R.pomeroyi",0.6,"BGE",0.458144518
"139","R.pomeroyi",10,"BGE",0.415637184
"140","R.pomeroyi",10,"BGE",0.443236229
"141","R.pomeroyi",10,"BGE",0.567763528
"142","R.pomeroyi",50,"BGE",0.423752445
"143","R.pomeroyi",50,"BGE",0.489776439
"144","R.pomeroyi",50,"BGE",0.538966366
