"","Strain","Cu_level","Bio_rep","Cellular_C","Cellular_N","Cells","Phosph","Sulfur","Copper","Iron","Zinc","Manganese","Cobalt","Cu_P","Fe_P","Zn_P","Mn_P","Co_P","Cellular_P","Cellular_S","Cellular_Cu","Cellular_Fe","Cellular_Zn","Cellular_Mn","Cellular_Co","Cu_C","Fe_C","Zn_C","Mn_C","Co_C","C_P","N_P","S_P","P_C","N_C","S_C"
"13","Dokd_P16",10,"R3",6.48e-15,1.5e-15,1.71e+09,2.02e-07,1.33e-07,1.77e-08,6.23e-07,1.4e-07,8.96e-08,3.9e-09,0.087623762,3.084158416,0.693069307,0.443564356,0.019306931,1.18e-16,7.78e-17,1.04e-20,3.64e-19,8.19e-20,5.24e-20,2.28e-21,1.597357592,56.22337737,12.63446683,8.086058768,0.351960147,54.9152542372881,12.7118644067797,0.659322033898305,0.0182098765432099,0.231481481481481,0.0120061728395062
"14","Dokd_P16",10,"R4",6.87e-15,1.57e-15,9.17e+08,8.72e-08,8.18e-08,1.25e-08,3.71e-07,8.63e-08,3.88e-08,1.88e-09,0.143348624,4.254587156,0.989678899,0.444954128,0.021559633,9.51e-17,8.92e-17,1.36e-20,4.05e-19,9.41e-20,4.23e-20,2.05e-21,1.984193124,58.89085192,13.69886933,6.158935457,0.298422646,72.2397476340694,16.5089379600421,0.937960042060988,0.0138427947598253,0.228529839883552,0.0129839883551674
"15","Dokd_P16",10,"R1",8.23e-15,2e-15,9.03e+08,9.86e-08,3.01e-08,7.05e-09,2.38e-07,4.96e-08,3.95e-08,1.85e-09,0.071501014,2.413793103,0.503042596,0.400608519,0.018762677,1.09e-16,3.33e-17,7.81e-21,2.64e-19,5.49e-20,4.37e-20,2.05e-21,0.948640215,32.02501719,6.674121229,5.315076382,0.248933957,75.5045871559633,18.348623853211,0.305504587155963,0.0132442284325638,0.243013365735115,0.00404617253948967
"16","Dokd_P16",10,"R2",8.21e-15,1.72e-15,5.26e+08,6.85e-08,1.35e-07,2.75e-09,1.02e-07,6.15e-09,2.31e-08,1.23e-09,0.040145985,1.489051095,0.089781022,0.337226277,0.017956204,1.3e-16,2.57e-16,5.23e-21,1.94e-19,1.17e-20,4.39e-20,2.34e-21,0.636801082,23.61953104,1.424118783,5.349129088,0.284823757,63.1538461538462,13.2307692307692,1.97692307692308,0.0158343483556638,0.209500609013398,0.0313032886723508
"17","Dokd_P16",10,"R3",9.35e-15,2.11e-15,7.8e+08,1.16e-07,5.33e-08,4.82e-09,2.07e-07,NA,3.96e-08,1.97e-09,0.041551724,1.784482759,NA,0.34137931,0.016982759,1.49e-16,6.83e-17,6.18e-21,2.65e-19,NA,5.08e-20,2.53e-21,0.66090772,28.38338132,NA,5.429864253,0.270122035,62.751677852349,14.1610738255034,0.458389261744966,0.0159358288770053,0.225668449197861,0.0073048128342246
"18","Dokd_P16",25,"R1",6.3e-15,1.55e-15,2.06e+09,2.81e-07,1.57e-07,3.87e-08,7.4e-07,2.94e-07,1.29e-07,4.96e-09,0.13772242,2.633451957,1.046263345,0.459074733,0.017651246,1.36e-16,7.62e-17,1.88e-20,3.59e-19,1.43e-19,6.26e-20,2.41e-21,2.981969487,57.01957158,22.65372168,9.939898289,0.382185237,46.3235294117647,11.3970588235294,0.560294117647059,0.0215873015873016,0.246031746031746,0.0120952380952381
"19","Dokd_P16",25,"R2",8.59e-15,2.01e-15,1.9e+09,3.15e-07,1.47e-07,4.56e-08,6.57e-07,2.71e-07,1.33e-07,5.46e-09,0.144761905,2.085714286,0.86031746,0.422222222,0.017333333,1.66e-16,7.74e-17,2.4e-20,3.46e-19,1.43e-19,7e-20,2.87e-21,2.793946449,40.25488634,16.60437473,8.149010477,0.334538325,51.7469879518072,12.1084337349398,0.466265060240964,0.0193247962747381,0.233993015133877,0.0090104772991851
"20","Dokd_P16",25,"R3",1.11e-14,2.45e-15,1.5e+09,2.52e-07,1.72e-07,3.48e-08,8.64e-07,2.48e-07,1.12e-07,4.49e-09,0.138095238,3.428571429,0.984126984,0.444444444,0.01781746,1.68e-16,1.15e-16,2.32e-20,5.76e-19,1.65e-19,7.47e-20,2.99e-21,2.09009009,51.89189189,14.89489489,6.726726727,0.26966967,66.0714285714286,14.5833333333333,0.68452380952381,0.0151351351351351,0.220720720720721,0.0103603603603604
"21","Dokd_P16",25,"R1",7.17e-15,1.68e-15,8.88e+08,1.19e-07,8.66e-08,1.39e-08,2.64e-07,1.5e-07,4.07e-08,1.97e-09,0.116806723,2.218487395,1.260504202,0.342016807,0.016554622,1.34e-16,9.75e-17,1.57e-20,2.97e-19,1.69e-19,4.58e-20,2.22e-21,2.183145489,41.4640582,23.55912398,6.392375639,0.309409828,53.5074626865672,12.5373134328358,0.727611940298507,0.0186889818688982,0.234309623430962,0.0135983263598326
"22","Dokd_P16",25,"R2",6.69e-15,1.25e-15,5.64e+08,6.3e-08,7.21e-08,7.05e-09,4.7e-08,2.54e-07,1.6e-08,7.71e-10,0.111904762,0.746031746,4.031746032,0.253968254,0.012238095,1.12e-16,1.28e-16,1.25e-20,8.33e-20,4.5e-19,2.84e-20,1.37e-21,1.868460389,12.45640259,67.31757996,4.240477478,0.204338008,59.7321428571429,11.1607142857143,1.14285714285714,0.0167414050822123,0.186846038863976,0.0191330343796712
"23","Dokd_P16",25,"R3",7.45e-15,1.74e-15,1.96e+09,3.3e-07,4.63e-07,6.52e-08,1.81e-06,1.96e-06,1.44e-07,7.51e-09,0.197575758,5.484848485,5.939393939,0.436363636,0.022757576,1.68e-16,2.36e-16,3.33e-20,9.23e-19,1e-18,7.35e-20,3.83e-21,4.465141761,123.9556225,134.2281879,9.861662786,0.514313108,44.3452380952381,10.3571428571429,1.4047619047619,0.0225503355704698,0.233557046979866,0.0316778523489933
"24","Dokd_P16",50,"R2",8.19e-15,1.76e-15,2.23e+09,2.41e-07,1.38e-07,2.9e-08,5.39e-07,4.26e-08,6.64e-08,3.6e-09,0.12033195,2.236514523,0.176763485,0.275518672,0.014937759,1.08e-16,6.19e-17,1.3e-20,2.42e-19,1.91e-20,2.98e-20,1.61e-21,1.587849121,29.51209229,2.332495606,3.635626954,0.197112305,75.8333333333333,16.2962962962963,0.573148148148148,0.0131868131868132,0.214896214896215,0.00755799755799756
"25","Dokd_P16",50,"R2",7.6e-15,1.75e-15,1.53e+09,1.51e-07,1.01e-07,1.68e-08,3.62e-07,2.68e-07,4.8e-08,2.32e-09,0.111258278,2.397350993,1.774834437,0.317880795,0.015364238,9.87e-17,6.6e-17,1.1e-20,2.37e-19,1.75e-19,3.14e-20,1.52e-21,1.444788442,31.13175095,23.04781562,4.127966976,0.199518404,77.0010131712259,17.7304964539007,0.668693009118541,0.0129868421052632,0.230263157894737,0.00868421052631579
"26","Dokd_P16",50,"R3",7.21e-15,1.63e-15,1.57e+09,1.77e-07,1.03e-07,2.15e-08,3.86e-07,1.67e-07,5.76e-08,2.43e-09,0.121468927,2.18079096,0.943502825,0.325423729,0.013728814,1.13e-16,6.56e-17,1.37e-20,2.46e-19,1.06e-19,3.67e-20,1.55e-21,1.899343622,34.09984364,14.75304116,5.088474076,0.21467,63.8053097345133,14.4247787610619,0.580530973451327,0.0156726768377254,0.226074895977809,0.00909847434119279
"27","R.pomeroyi",0.6,"R1",2.63e-14,6.42e-15,1.39e+09,2.74e-07,NA,1.64e-08,6.01e-07,1.89e-07,2.56e-07,5.07e-09,0.059854015,2.193430657,0.689781022,0.934306569,0.01850365,1.97e-16,NA,1.18e-20,4.32e-19,1.36e-19,1.84e-19,3.65e-21,0.448614492,16.44007988,5.17000848,7.002762809,0.138687529,133.502538071066,32.5888324873096,NA,0.00749049429657795,0.244106463878327,NA
"28","R.pomeroyi",0.6,"R1",1.49e-14,3.35e-15,1.39e+09,2.74e-07,2.1e-07,1.45e-08,6.56e-07,7.31e-08,2.97e-07,5.39e-09,0.052919708,2.394160584,0.266788321,1.083941606,0.019671533,1.97e-16,1.51e-16,1.04e-20,4.72e-19,5.26e-20,2.14e-19,3.88e-21,0.700111052,31.67398967,3.529525373,14.34020569,0.260248177,75.6345177664975,17.005076142132,0.766497461928934,0.0132214765100671,0.224832214765101,0.0101342281879195
"29","R.pomeroyi",0.6,"R3",2.2e-14,5.43e-15,1.31e+09,3.21e-07,2.79e-07,1.59e-08,6.81e-07,1.07e-06,2.92e-07,3.4e-09,0.04953271,2.121495327,3.333333333,0.909657321,0.0105919,2.45e-16,2.13e-16,1.21e-20,5.2e-19,8.17e-19,2.23e-19,2.6e-21,0.551700208,23.62942401,37.12699514,10.13185288,0.117973629,89.7959183673469,22.1632653061225,0.869387755102041,0.0111363636363636,0.246818181818182,0.00968181818181818
