"","Strain","Cu_level","Bio_rep","Cellular_C","Cellular_N","Cells","Phosph","Sulfur","Copper","Iron","Zinc","Manganese","Cobalt","Cu_P","Fe_P","Zn_P","Mn_P","Co_P","Cellular_P","Cellular_S","Cellular_Cu","Cellular_Fe","Cellular_Zn","Cellular_Mn","Cellular_Co","Cu_C","Fe_C","Zn_C","Mn_C","Co_C","C_P","N_P","S_P","P_C","N_C","S_C"
"54","PAlt_P2",0.6,"R1",2.17e-14,5.56e-15,7.76e+08,3.57e-07,1.54e-07,7.44e-09,7.13e-07,3.39e-07,7.81e-09,3.49e-09,0.020840336,1.99719888,0.949579832,0.021876751,0.00977591,4.6e-16,1.98e-16,9.59e-21,9.19e-19,4.37e-19,1.01e-20,4.5e-21,0.441826215,42.34167894,20.1315977,0.463798755,0.207254501,47.1739130434783,12.0869565217391,0.430434782608696,0.0211981566820276,0.256221198156682,0.00912442396313364
"55","PAlt_P2",0.6,"R2",2.17e-14,5.56e-15,4.99e+08,2.66e-07,1.25e-07,1.61e-08,4.24e-07,6.83e-07,4.13e-08,3.35e-09,0.060526316,1.593984962,2.567669173,0.155263158,0.012593985,5.33e-16,2.51e-16,3.23e-20,8.5e-19,1.37e-18,8.28e-20,6.71e-21,1.486844657,39.15665432,63.07545968,3.814079772,0.309374509,40.7129455909944,10.4315196998124,0.470919324577861,0.0245622119815668,0.256221198156682,0.0115668202764977
"56","PAlt_P2",0.6,"R3",2.17e-14,5.56e-15,8.06e+08,4.76e-07,1.7e-07,9.6e-09,7.53e-07,3.05e-07,2.56e-08,5.24e-09,0.020168067,1.581932773,0.640756303,0.053781513,0.011008403,5.91e-16,2.11e-16,1.19e-20,9.34e-19,3.78e-19,3.18e-20,6.5e-21,0.548878801,43.05268093,17.4383369,1.463676802,0.299596345,36.7174280879865,9.4077834179357,0.357021996615905,0.0272350230414747,0.256221198156682,0.00972350230414746
"57","PAlt_P2",0.6,"R4",2.17e-14,5.56e-15,NA,3.94e-07,NA,8.93e-09,6.64e-07,4.86e-07,2.33e-08,4.08e-09,0.022664975,1.685279188,1.233502538,0.059137056,0.01035533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256221198156682,NA
"58","PAlt_P2",10,"R1",2.17e-14,5.56e-15,8.7e+08,4.42e-07,1.65e-07,1.66e-08,9.36e-07,5.44e-07,9.22e-09,5.24e-09,0.037556561,2.117647059,1.230769231,0.020859729,0.011855204,5.08e-16,1.9e-16,1.91e-20,1.08e-18,6.25e-19,1.06e-20,6.02e-21,0.87928386,49.57889719,28.81508554,0.488373325,0.277557074,42.7165354330709,10.9448818897638,0.374015748031496,0.0234101382488479,0.256221198156682,0.00875576036866359
"59","PAlt_P2",10,"R2",2.17e-14,5.56e-15,6.78e+08,3.25e-07,1.54e-07,1.25e-08,5.82e-07,2.97e-07,4.69e-09,3.5e-09,0.038461538,1.790769231,0.913846154,0.014430769,0.010769231,4.79e-16,2.27e-16,1.84e-20,8.58e-19,4.38e-19,6.92e-21,5.16e-21,0.849611897,39.55792994,20.18677868,0.318774384,0.237891331,45.3027139874739,11.60751565762,0.473903966597077,0.022073732718894,0.256221198156682,0.0104608294930876
"60","PAlt_P2",10,"R3",2.17e-14,5.56e-15,7.98e+08,3.56e-07,1.2e-07,1.42e-08,7.24e-07,4.6e-07,8.61e-09,6.13e-09,0.03988764,2.033707865,1.292134831,0.024185393,0.017219101,4.46e-16,1.5e-16,1.78e-20,9.07e-19,5.76e-19,1.08e-20,7.68e-21,0.820022406,41.80959311,26.56410612,0.497210769,0.353995588,48.6547085201794,12.4663677130045,0.336322869955157,0.0205529953917051,0.256221198156682,0.00691244239631336
"61","PAlt_P2",25,"R1",2.17e-14,5.56e-15,NA,3.38e-07,1.9e-07,3.4e-07,3.05e-07,6.72e-07,7.9e-08,6.64e-09,NA,0.902366864,1.98816568,0.233727811,0.01964497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256221198156682,NA
"62","PAlt_P2",25,"R2",2.17e-14,5.56e-15,5.22e+08,2.86e-07,1.11e-07,1.04e-08,5e-07,5.13e-07,4.62e-08,4.08e-09,0.036363636,1.748251748,1.793706294,0.161538462,0.014265734,5.48e-16,2.13e-16,1.99e-20,9.58e-19,9.83e-19,8.85e-20,7.82e-21,0.918127726,44.14075604,45.2884157,4.078605858,0.360188569,39.5985401459854,10.1459854014599,0.388686131386861,0.0252534562211982,0.256221198156682,0.00981566820276498
"63","PAlt_P2",25,"R3",2.17e-14,5.56e-15,496123417.7,3.67e-07,1.47e-07,1.04e-08,5.97e-07,3.5e-07,1.97e-08,3.65e-09,0.028337875,1.626702997,0.953678474,0.053678474,0.009945504,7.4e-16,2.96e-16,2.1e-20,1.2e-18,7.05e-19,3.97e-20,7.36e-21,0.966015019,55.45297754,32.51012083,1.829855373,0.339034117,29.3243243243243,7.51351351351351,0.4,0.0341013824884793,0.256221198156682,0.0136405529953917
"64","PAlt_P2",25,"R4",2.17e-14,5.56e-15,824984177.2,3.84e-07,NA,1.31e-08,5.94e-07,4.82e-07,1.86e-08,3.94e-09,0.034114583,1.546875,1.255208333,0.0484375,0.010260417,4.65e-16,NA,1.59e-20,7.2e-19,5.84e-19,2.25e-20,4.78e-21,0.731755411,33.18035987,26.9241304,1.038980966,0.220085215,46.6666666666667,11.9569892473118,NA,0.0214285714285714,0.256221198156682,NA
